id,username,password,pages_read,books_read
1,ftinson0,3XE1blo,39,13340336 17405342 18955715
2,fleguay1,APF6eFqrPVUx,22,17405342 2168737
3,smountjoy2,zxJlQi,16,13340336 18711343 2168737 18955715
4,rhehl3,celUn3cAB,10,13340336
5,lpaschek4,HKpeJEgKJ,36,13340336 18711343 2168737 18955715
6,mcrolla5,0HQjBk,26,17405342
7,cskully6,cMNmbr,3,17405342 18955715
8,mrobertot7,mj4mW3v,20,13340336 18711343 2168737
9,goheagertie8,0ZKHpuJwC,47,13340336 18711343 2168737
10,iglaysher9,eylwN1J3kCO,42,17405342 2168737 18955715
11,breya,1gYeaLGn,15,17405342 2168737 18955715
12,bmacconneelyb,1FA2tN2hEz,30,18711343
13,cobyc,OmHLekl,15,17405342
14,adebenedittid,0jR1tAN,30,13340336 18711343 2168737 18955715
15,ldewinge,lmNunLN,28,13340336 18711343 2168737
16,egipsonf,Jvm4xEeF6iAs,22,17405342 2168737
17,clegateg,IJ0nusZR0,36,18711343
18,gmaccaffreyh,o74X9RRu3ay6,13,13340336 18711343 2168737
19,rpeeri,lOQZLMsr8MQ,33,13340336 18711343 2168737
20,nbeneytoj,asszcO8eh,14,13340336 18711343 2168737
21,ebrettk,ekKyIjfX8B,17,17405342 18955715
22,apopel,Yiljtw2zf3W6,37,13340336 17405342 18955715
23,jczajkam,JanAYe06SKQg,10,17405342 2168737
24,ezolinin,aiU1EiCHUZ,8,13340336
25,lfeitosao,8mfjBS2WQFUc,22,17405342 2168737
26,ahackworthyp,BCYvezGS,6,18711343
27,skingsleyq,rRoeU7,11,17405342 2168737
28,jsindallr,v7mFyawztICw,0,13340336 18711343 2168737
29,aizats,F5klNn,2,17405342 18955715
30,toharneyt,f37q4d,18,13340336 18711343 2168737 18955715
31,mcrumlyu,jAn2qT,46,17405342 18955715
32,cperfittv,JTAZylBaJ,5,13340336 18711343 2168737 18955715
33,sbaffordw,1O3r488jcG,45,17405342 2168737 18955715
34,jcowdreyx,yRn3ak6,37,13340336 18711343 2168737
35,cbramally,TIkQDo,28,13340336 18711343 2168737 18955715
36,gcoenraetsz,H0sSrtfL,41,13340336 18711343 2168737
37,ycattermole10,XqlXRJCnZXtp,47,17405342 2168737 18955715
38,glilian11,CCM8Hjb863i,37,13340336 18711343 2168737 18955715
39,uladson12,TC6WymSe,1,13340336 18711343 2168737
40,tsteinhammer13,u081K9H0gdz,32,17405342 18955715
41,bgarrity14,io4Kq1I2e7M,40,13340336 18711343 2168737
42,aescale15,qZN5LMh,22,17405342 2168737
43,abingham16,oL8NokKc,31,17405342 18955715
44,djeandel17,iA0JICLx,14,13340336
45,wosband18,mFMxtUKxXi,20,13340336 18711343 2168737 18955715
46,zgiacomuzzo19,nGE4dNA9kej,26,13340336 18711343 2168737 18955715
47,hwife1a,xneE2JaV,26,18711343
48,rphlipon1b,uBe8Z9f,19,17405342 2168737 18955715
49,nclemanceau1c,GmC7lIp2dLDC,35,13340336 18711343 2168737
50,svonbrook1d,4XVheekW2,22,13340336 18711343 2168737
51,rkiehl1e,mOCOHqObZBf0,5,17405342 18955715
52,dcardoo1f,vZLKivE,28,13340336 17405342 18955715
53,jfancourt1g,Igh1nZt,45,17405342 2168737
54,mplumtree1h,guciPYOzOWQ,34,17405342 2168737
55,fcaddies1i,iNXTxyrE8suX,35,17405342 2168737
56,aomoylan1j,5OChTS8,33,17405342 2168737 18955715
57,dgirhard1k,QZqsmG3F,20,17405342
58,elehrian1l,zj3gCwghlz7,9,18711343
59,lohannen1m,a8SbFy,19,13340336 18711343 2168737 18955715
60,cpetican1n,JAdUCB,34,17405342 2168737
61,ltemple1o,E69fEIm,33,13340336 18711343 2168737
62,spincott1p,uZ5ffry2D0,0,18711343
63,ogallally1q,Xb81NB1l,0,17405342 2168737 18955715
64,bwickes1r,X4KTMh,47,13340336 18711343 2168737
65,smacgebenay1s,ubzn2hsD8Xt,20,18711343
66,mkubica1t,eqhauwUjqtE,32,13340336 18711343 2168737
67,ssinton1u,lVw9ablW,32,13340336 18711343 2168737 18955715
68,bavrahamof1v,h56aOP,35,13340336 18711343 2168737 18955715
69,mtolcher1w,VnDTJdFfM,37,13340336
70,rpluthero1x,Jh3jirHD1bHu,45,17405342 18955715
71,rchalcot1y,rgndo3va1C,34,13340336 17405342 18955715
72,smansuer1z,sSff8tEYeH,13,13340336 18711343 2168737
73,cconradie20,w1WL0Kf8,20,17405342 18955715
74,bpevreal21,p1CDpEMgC,41,17405342 2168737
75,bcuttelar22,HO64ZvzXloHl,21,17405342 2168737
76,skorejs23,u9TJu3P,28,13340336 17405342 18955715
77,hblackwood24,citCqwaQvfl,1,17405342
78,sadolfsen25,eMsYFU,25,13340336 18711343 2168737
79,idoelle26,zdXjF3b,10,13340336
80,cmcginly27,QEyC5LhyN,48,13340336 18711343 2168737 18955715
81,dfarish28,hQXcERnJVnt,20,17405342 2168737
82,mlambswood29,zYkyXLSmxsc,39,18711343
83,oflockhart2a,rG1XneaZ,31,17405342 2168737 18955715
84,bphettis2b,dRG5dkAq6Nn,24,13340336 18711343 2168737
85,bwhiteoak2c,WHhzYik6cQB,35,17405342 2168737 18955715
86,jalentyev2d,IJpHQq4,18,13340336
87,dravenhills2e,cqGR7oNCR,49,13340336 18711343 2168737 18955715
88,danchor2f,kfhw6CSb,13,17405342 2168737
89,vpittock2g,liwnVt5mmo3,8,13340336 18711343 2168737
90,elettuce2h,RuD9lHzLEA,10,13340336 18711343 2168737
91,uwinship2i,D0yYBdnyfAF,13,18711343
92,lstanden2j,qkq5efhnrTX,41,17405342 18955715
93,dalejandre2k,aLDCC3G2,44,17405342 2168737 18955715
94,hminchell2l,qNfpueZLj,2,17405342
